Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
902,1.18,-79.75,9.9,3.9,"Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
912,0.77,-79.68,7.4,3.7,"Atacames,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
933,0.74,-79.28,47.3,3.7,"Esmeraldas,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
987,0.4,-79.88,6.6,3.7,"Muisne,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
1012,0.58,-78.67,3.3,4,"Cotacachi,Imbabura",Esmeraldas,4.0 - 4.9,0,
1013,0.6,-78.69,3.4,5.4,"Cotacachi,Imbabura",Esmeraldas,5.0 - 5.9,0,
1016,0.57,-80.07,6.9,3.5,"Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
1026,0.37,-79.9,5.7,3.7,"Muisne,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
1093,0.61,-80.26,6.70734119,3.60388613,nas,Esmeraldas,3.0 - 3.9,0,
1112,1.5,-80.34,5,4.44176992,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1114,0.56,-80.07,0.37837979,3.71092678,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1152,0.53,-80.08,81.95046997,3.68181421,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1159,0.52,-80.14,10.19757748,3.58350247,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1163,0.65,-79.93,3.83179736,3.77294261,nas,Esmeraldas,3.0 - 3.9,0,
1164,0.63,-80.14,3.02279782,4.43355922,nas,Esmeraldas,4.0 - 4.9,0,
1190,0.72,-80.07,10,3.96307734,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1191,0.62,-80.26,1.20603359,3.70932543,nas,Esmeraldas,3.0 - 3.9,0,
1192,0.59,-80.08,8.87561703,3.86637609,nas,Esmeraldas,3.0 - 3.9,0,
1206,0.65,-79.91,3.73651099,4.22994652,nas,Esmeraldas,4.0 - 4.9,0,
1207,0.7,-80.05,2.82110405,4.40797731,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1208,0.67,-80.13,7.62729025,4.01453859,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1211,0.63,-80.08,5.13772821,4.04764789,nas,Esmeraldas,4.0 - 4.9,0,
1212,0.88,-80.13,3.4020226,4.02627592,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1219,0.7,-80.14,10,4.82055203,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1242,0.64,-79.77,10,4.75896385,nas,Esmeraldas,4.0 - 4.9,0,
1244,0.55,-80.04,5.22247982,4.30376757,nas,Esmeraldas,4.0 - 4.9,0,
1245,0.6,-79.94,4.79098177,4.46563419,nas,Esmeraldas,4.0 - 4.9,0,
1246,0.51,-79.95,7.16021967,4.43050365,nas,Esmeraldas,4.0 - 4.9,0,
1247,0.65,-79.96,12.21029568,4.70935278,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1249,0.68,-80.14,11.42803764,3.53297143,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1251,0.72,-80.16,8.34227753,4.21636204,nas,Near Coast of Ecuador,4.0 - 4.9,0,
