"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"4.2,31-05-2016 10:48,0.39? N,80.40? W,4,Near Coast of Ecuador,M,""48.33km Muisne,Esmeraldas"",31-05-2016 15:48,31-05-2016 15:58"
"4.5,03-06-2016 8:45,2.50? S,77.76? W,10,Ecuador - Morona Santiago,M,""44.51km Macas,Morona Santiago"",03-06-2016 13:45,03-06-2016 13:51"
"3.2,03-06-2016 23:02,0.95? N,79.55? W,5.2,Near Coast of Ecuador,M,""12.01km Esmeraldas,Esmeraldas"",04-06-2016 4:02,04-06-2016 19:38"
"3.4,04-06-2016 22:31,0.32? N,80.65? W,10,Near Coast of Ecuador,M,""71.70km Pedernales,Manabi"",05-06-2016 3:31,05-06-2016 3:41"
"3.5,05-06-2016 2:32,0.30? N,80.09? W,5.3,Near Coast of Ecuador,M,""26.15km Pedernales,Manabi"",05-06-2016 7:32,05-06-2016 7:44"
"3.6,05-06-2016 9:44,2.01? S,80.84? W,2.2,Near Coast of Ecuador,M,""24.98km La Libertad,Santa Elena"",05-06-2016 14:44,05-06-2016 15:02"
"3.4,05-06-2016 12:06,0.74? S,80.33? W,3.8,Near Coast of Ecuador,M,""16.66km San Vicente,Manabi"",05-06-2016 17:06,05-06-2016 23:40"
"3.2,05-06-2016 18:30,0.72? S,80.33? W,7.2,Near Coast of Ecuador,M,""15.07km San Vicente,Manabi"",05-06-2016 23:30,05-06-2016 23:51"
"3.4,06-06-2016 4:41,1.33? S,80.89? W,5.3,Near Coast of Ecuador,M,""26.46km Puerto Lopez,Manabi"",06-06-2016 9:41,06-06-2016 10:06"
"4.4,06-06-2016 11:45,0.63? N,80.21? W,10,Near Coast of Ecuador,M,""20.94km Muisne,Esmeraldas"",06-06-2016 16:45,06-06-2016 16:53"
"3.6,07-06-2016 6:49,1.05? S,79.35? W,89.9,Ecuador - Los Rios,M,""10.77km Valencia,Los Rios"",07-06-2016 11:49,07-06-2016 16:37"
"3.3,07-06-2016 18:07,0.70? N,79.32? W,10,Ecuador - Esmeraldas,M,""44.28km Quininde,Esmeraldas"",07-06-2016 23:07,07-06-2016 23:55"
"3.8,13-06-2016 12:17,0.17? S,80.48? W,7.9,Near Coast of Ecuador,M,""23.88km Jama,Manabi"",13-06-2016 17:17,13-06-2016 17:25"
"3.5,14-06-2016 18:46,0.58? N,79.77? W,18.1,Near Coast of Ecuador,M,""28.22km Muisne,Esmeraldas"",14-06-2016 23:46,14-06-2016 23:51"
"3.3,15-06-2016 10:36,0.19? S,80.61? W,10,Near Coast of Ecuador,M,""38.75km Jama,Manabi"",15-06-2016 15:36,15-06-2016 15:48"
"3.5,18-06-2016 12:42,0.56? N,80.00? W,4.1,Ecuador - Esmeraldas,M,""6.14km Muisne,Esmeraldas"",18-06-2016 17:42,18-06-2016 17:57"
"3.5,19-06-2016 22:13,0.32? N,80.63? W,10,Near Coast of Ecuador,A,""69.89km Pedernales,Manabi"",20-06-2016 3:13,20-06-2016 3:17"
"3.8,19-06-2016 22:56,3.31? S,80.05? W,26.4,Ecuador - El Oro,M,""11.61km Machala,El Oro"",20-06-2016 3:56,20-06-2016 4:04"
"4.5,20-06-2016 6:59,0.95? S,80.54? W,4,Near Coast of Ecuador,M,""10.42km Rocafuerte,Manabi"",20-06-2016 11:59,20-06-2016 12:16"
"4.4,20-06-2016 18:24,1.00? S,80.57? W,4.1,Near Coast of Ecuador,M,""9.04km Jaramijo,Manabi"",20-06-2016 23:24,20-06-2016 23:33"
"3.5,20-06-2016 23:40,0.14? S,80.45? W,3.9,Near Coast of Ecuador,M,""22.06km Jama,Manabi"",21-06-2016 4:40,21-06-2016 5:06"
"4,21-06-2016 9:50,3.94? S,79.76? W,11.3,Ecuador - Loja,M,""17.52km Catacocha,Loja"",21-06-2016 14:50,21-06-2016 15:10"
"3.5,22-06-2016 10:17,0.37? N,80.84? W,10,Near Coast of Ecuador,M,""90.47km Jama,Manabi"",22-06-2016 15:17,22-06-2016 15:24"
"4.2,22-06-2016 10:40,0.33? N,80.77? W,10,Near Coast of Ecuador,M,""81.77km Jama,Manabi"",22-06-2016 15:40,22-06-2016 15:49"
"3.9,22-06-2016 12:17,0.27? N,80.77? W,18.6,Near Coast of Ecuador,M,""77.33km Jama,Manabi"",22-06-2016 17:17,22-06-2016 17:25"
"4.1,24-06-2016 4:38,0.99? N,79.68? W,10,Near Coast of Ecuador,M,""4.14km Esmeraldas,Esmeraldas"",24-06-2016 9:38,24-06-2016 10:02"
"3.6,24-06-2016 9:49,0.16? S,80.67? W,9.5,Near Coast of Ecuador,M,""45.67km Jama,Manabi"",24-06-2016 14:49,24-06-2016 14:56"
"3.9,24-06-2016 10:44,0.93? N,79.55? W,1.4,Near Coast of Ecuador,M,""11.93km Esmeraldas,Esmeraldas"",24-06-2016 15:44,24-06-2016 15:59"
"3.2,24-06-2016 13:03,0.16? S,80.69? W,2.2,Near Coast of Ecuador,M,""48.15km Jama,Manabi"",24-06-2016 18:03,24-06-2016 19:14"
"3.2,24-06-2016 13:13,0.23? S,80.65? W,5,Near Coast of Ecuador,M,""42.80km Jama,Manabi"",24-06-2016 18:13,24-06-2016 19:16"
"3.7,24-06-2016 14:44,0.50? S,80.40? W,10.2,Ecuador - Manabi,M,""11.25km San Vicente,Manabi"",24-06-2016 19:44,24-06-2016 19:51"
"3.5,24-06-2016 23:55,0.91? N,79.58? W,8.3,Near Coast of Ecuador,M,""10.44km Esmeraldas,Esmeraldas"",25-06-2016 4:55,25-06-2016 5:01"
"3.8,25-06-2016 15:15,0.93? N,79.56? W,3.3,Near Coast of Ecuador,M,""10.70km Esmeraldas,Esmeraldas"",25-06-2016 20:15,25-06-2016 20:21"
"3.9,26-06-2016 0:28,1.74? S,77.72? W,195.3,Ecuador - Pastaza,M,""42.10km Puyo,Pastaza"",26-06-2016 5:28,26-06-2016 5:33"
"4.8,26-06-2016 23:15,3.33? S,80.03? W,26.7,Ecuador - El Oro,M,""11.53km Machala,El Oro"",27-06-2016 4:15,27-06-2016 4:19"
"3.8,25-06-2016 16:02,0.96? N,79.56? W,1.7,Near Coast of Ecuador,M,""10.32km Esmeraldas,Esmeraldas"",25-06-2016 21:02,27-06-2016 15:27"
"3.9,28-06-2016 16:25,3.07? S,78.00? W,1.6,Ecuador - Morona Santiago,M,""70.70km Sucua,Morona Stgo"",28-06-2016 21:25,28-06-2016 23:51"
"3.6,29-06-2016 0:48,1.36? N,79.63? W,1.5,Near Coast of Ecuador,M,""43.73km Esmeraldas,Esmeraldas"",29-06-2016 5:48,29-06-2016 5:55"
"3.8,03-07-2016 8:23,0.27? S,80.55? W,2.1,Near Coast of Ecuador,M,""33.38km Jama,Manabi"",03-07-2016 13:23,03-07-2016 13:31"
"3.4,04-07-2016 6:19,1.60? S,80.91? W,3,Near Coast of Ecuador,M,""13.03km Puerto Lopez,Manabi"",04-07-2016 11:19,04-07-2016 13:36"
"3.5,04-07-2016 13:48,0.53? S,80.78? W,5,Near Coast of Ecuador,M,""40.04km Bahia de Caraquez,Manabi"",04-07-2016 18:48,04-07-2016 18:57"
"4,05-07-2016 6:25,0.97? N,79.49? W,-,Near Coast of Ecuador,M,""18.35km Esmeraldas,Esmeraldas"",05-07-2016 11:25,05-07-2016 18:38"
"3.9,05-07-2016 13:44,0.34? S,81.03? W,7.7,Off Coast of Ecuador,M,""73.65km Bahia de Caraquez,Manabi"",05-07-2016 18:44,06-07-2016 14:49"
"3.6,06-07-2016 1:37,0.95? N,79.52? W,4.6,Near Coast of Ecuador,M,""14.64km Esmeraldas,Esmeraldas"",06-07-2016 6:37,06-07-2016 19:53"
"3,06-07-2016 1:49,0.97? N,79.44? W,20,Near Coast of Ecuador,M,""23.83km Esmeraldas,Esmeraldas"",06-07-2016 6:49,06-07-2016 20:13"
"3.5,06-07-2016 19:26,0.92? N,79.36? W,10,Near Coast of Ecuador,M,""32.64km Esmeraldas,Esmeraldas"",07-07-2016 0:26,07-07-2016 0:36"
"3.6,06-07-2016 21:50,1.59? S,80.90? W,23,Near Coast of Ecuador,M,""11.85km Puerto Lopez,Manabi"",07-07-2016 2:50,07-07-2016 2:56"
